"filename", "language", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/Constants.js", "JavaScript", 0, 0, 179, 0, 9, 188
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/ChromeWindowComp_Created.js", "JavaScript", 0, 0, 214, 0, 116, 330
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/TestComp_created.js", "JavaScript", 0, 0, 39, 0, 20, 59
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/chromeWindow.html", "HTML", 0, 88, 0, 0, 1, 89
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/create_component.cjs", "JavaScript", 0, 0, 239, 28, 51, 318
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/load_components.js", "JavaScript", 0, 0, 25, 0, 4, 29
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/navBar.js", "JavaScript", 0, 0, 93, 2, 36, 131
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/newCompFile.js", "JavaScript", 0, 0, 35, 0, 18, 53
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/taskbar_apps.js", "JavaScript", 0, 0, 134, 16, 48, 198
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/test.html", "HTML", 0, 13, 0, 0, 0, 13
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/components/windows.js", "JavaScript", 0, 0, 634, 73, 225, 932
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/homepage.css", "CSS", 47, 0, 0, 9, 34, 90
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/homepage.js", "JavaScript", 0, 0, 140, 4, 39, 183
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/index.html", "HTML", 0, 60, 0, 164, 18, 242
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/loadup.css", "CSS", 37, 0, 0, 0, 8, 45
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/loadup.html", "HTML", 0, 45, 0, 0, 5, 50
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/styles/navbar.css", "CSS", 136, 0, 0, 16, 52, 204
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/styles/taskbar.css", "CSS", 157, 0, 0, 8, 31, 196
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/Mac/styles/windows.css", "CSS", 372, 0, 0, 13, 109, 494
"/Users/nathanielkemmenash/Desktop/VS Code Projects/NateOS/src/index.html", "HTML", 0, 22, 0, 0, 1, 23
"Total", "-", 749, 228, 1732, 333, 825, 3867
